excel_row,status,db_id,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
2,exact_match,697792962e40cca8d4f82c97,Abiona Centre For Infant And Early Mental Health Early Learning,Toronto,Toronto,"40 Humewood Dr, Toronto, ON, M6C 2W4",Abiona Centre For Infant And Early Mental Health Early Learning,Toronto,Toronto,"40 Humewood Dr, Toronto, ON, M6C 2W4"
3,exact_match,697792962e40cca8d4f82ca1,Abiona Centre For Infant And Early Mental Health Early Learning,East York,Toronto,"1102 Broadview Ave, East York, ON M4K 2S5",Abiona Centre For Infant And Early Mental Health Early Learning,East York,Toronto,"1102 Broadview Ave, East York, ON M4K 2S5"
4,exact_match,6977928e2e40cca8d4f82457,Absorbent Minds (Op1756925 Ontario Inc.),Scarborough,Toronto,"16 Old Kingston Road, Scarborough, Ontario M1E 3J5",Absorbent Minds (Op1756925 Ontario Inc.),Scarborough,Toronto,"16 Old Kingston Road, Scarborough, Ontario M1E 3J5"
5,exact_match,6977928e2e40cca8d4f82425,Absorbent Minds 2,Scarborough,Toronto,"20 Old Kingston Road, Scarborough, ON M1E 3J5",Absorbent Minds 2,Scarborough,Toronto,"20 Old Kingston Road, Scarborough, ON M1E 3J5"
6,exact_match,6977928e2e40cca8d4f824cb,After Four Children's Enrichment Program,Scarborough,Toronto,"10 Japonica Rd, Scarborough, ON M1R 4R7",After Four Children's Enrichment Program,Scarborough,Toronto,"10 Japonica Rd, Scarborough, ON M1R 4R7"
7,exact_match,6977928e2e40cca8d4f824cc,Albion Heights School Age YMCA,Etobicoke,Toronto,"45 Lynmont Road, Etobicoke, ON M9V 3W9",Albion Heights School Age YMCA,Etobicoke,Toronto,"45 Lynmont Road, Etobicoke, ON M9V 3W9"
8,exact_match,6977928e2e40cca8d4f826e8,Alderwood Action After School,Toronto,Toronto,"544 Horner Ave, Toronto, ON M8W 2C2",Alderwood Action After School,Toronto,Toronto,"544 Horner Ave, Toronto, ON M8W 2C2"
9,exact_match,697792962e40cca8d4f82c24,Alexander Muir Gladstone Jr YMCA,Toronto,Toronto,"108 Gladstone Ave, Toronto, ON M6J 3L2",Alexander Muir Gladstone Jr YMCA,Toronto,Toronto,"108 Gladstone Ave, Toronto, ON M6J 3L2"
10,exact_match,697792962e40cca8d4f82d7f,All About Kids Inc. (1055 Gerrard Street East),Toronto,Toronto,"1055 Gerrard St E, Toronto, ON M4M 1Z7",All About Kids Inc. (1055 Gerrard Street East),Toronto,Toronto,"1055 Gerrard St E, Toronto, ON M4M 1Z7"
11,exact_match,6977928e2e40cca8d4f826e9,Allenby Day Care,Toronto,Toronto,"391 St Clements Ave, Toronto, ON M5N 1M1",Allenby Day Care,Toronto,Toronto,"391 St Clements Ave, Toronto, ON M5N 1M1"
12,exact_match,6977928e2e40cca8d4f82772,Alphabet Academy,Toronto,Toronto,"111 Manor Rd E, Toronto, ON M4S 1R4",Alphabet Academy,Toronto,Toronto,"111 Manor Rd E, Toronto, ON M4S 1R4"
13,exact_match,697792962e40cca8d4f82ca7,Alphabet Station,Toronto,Toronto,"2206 Queen St E, Toronto, ON M4E 1E7",Alphabet Station,Toronto,Toronto,"2206 Queen St E, Toronto, ON M4E 1E7"
14,exact_match,6977928e2e40cca8d4f8260e,Alphabet Treehouse Childcare Centre,Toronto,Toronto,"1780 Avenue Rd, Toronto, ON M5M 3Y9",Alphabet Treehouse Childcare Centre,Toronto,Toronto,"1780 Avenue Rd, Toronto, ON M5M 3Y9"
15,exact_match,697792902e40cca8d4f829cd,Alvin Curling YMCA,Scarborough,Toronto,"50 Upper Rouge Trail, Scarborough, ON M1B6K4",Alvin Curling YMCA,Scarborough,Toronto,"50 Upper Rouge Trail, Scarborough, ON M1B6K4"
16,exact_match,697792962e40cca8d4f82ca9,Angus Valley Montessori,North York,Toronto,"4841 Yonge St, North York, ON M2N 5X2",Angus Valley Montessori,North York,Toronto,"4841 Yonge St, North York, ON M2N 5X2"
17,exact_match,697792902e40cca8d4f828e5,Annunciation Catholic School Before & After Child Care Program,North York,Toronto,"65 Avonwick Gate, North York, ON M3A 2M8",Annunciation Catholic School Before & After Child Care Program,North York,Toronto,"65 Avonwick Gate, North York, ON M3A 2M8"
18,exact_match,6977928e2e40cca8d4f82773,A Place To Play Nursery School Of Bloor West Village,Toronto,Toronto,"680 Annette St, Toronto, ON M6S 2C8",A Place To Play Nursery School Of Bloor West Village,Toronto,Toronto,"680 Annette St, Toronto, ON M6S 2C8"
19,exact_match,6977928e2e40cca8d4f827c9,Apple Jacks Preschool,Toronto,Toronto,"19 Benlamond Ave, Toronto, ON M4E 1Y8",Apple Jacks Preschool,Toronto,Toronto,"19 Benlamond Ave, Toronto, ON M4E 1Y8"
20,exact_match,697792962e40cca8d4f82caa,Ascot Avenue Community Daycare,Toronto,Toronto,"991 St Clair Ave W, Toronto, ON M6E 1A3",Ascot Avenue Community Daycare,Toronto,Toronto,"991 St Clair Ave W, Toronto, ON M6E 1A3"
21,exact_match,697792902e40cca8d4f828e2,Ascot Avenue Community Day Care,Toronto,Toronto,"95 Regal Rd, Toronto, ON M6H 2J6",Ascot Avenue Community Day Care,Toronto,Toronto,"95 Regal Rd, Toronto, ON M6H 2J6"
22,exact_match,697792902e40cca8d4f82813,Aspiring Academics Preschool Inc.,Toronto,Toronto,"262 Woodfield Rd., Toronto, ON M4L 2W7",Aspiring Academics Preschool Inc.,Toronto,Toronto,"262 Woodfield Rd., Toronto, ON M4L 2W7"
23,partial_match,6977928e2e40cca8d4f82774,Aspiring Academics Preschool - Kingston,Scarborough¬†Southwest,Toronto,"2372 Kingston Road, Toronto, ON M1N 1V2",Aspiring Academics Preschool - Kingston,Scarborough Southwest,Toronto,"2372 Kingston Road, Toronto, ON M1N 1V2"
24,exact_match,697792962e40cca8d4f82d80,Aspiring Academics Preschool - Somerset,Davenport,Toronto,"56 Somerset Avenue, Toronto, ON M6H 2R4",Aspiring Academics Preschool - Somerset,Davenport,Toronto,"56 Somerset Avenue, Toronto, ON M6H 2R4"
25,exact_match,6977928e2e40cca8d4f82428,Atelier Childcare Inc.,Toronto,Toronto,"15 Oakmount Rd, Toronto, ON M6P 2M3",Atelier Childcare Inc.,Toronto,Toronto,"15 Oakmount Rd, Toronto, ON M6P 2M3"
26,exact_match,6977928e2e40cca8d4f8248b,Atelier Kids Inc.,Toronto,Toronto,"34 Madison Ave, Toronto M5R 2S1",Atelier Kids Inc.,Toronto,Toronto,"34 Madison Ave, Toronto M5R 2S1"
27,exact_match,6977928e2e40cca8d4f8248d,Avalon Children's Montessori School,Toronto,Toronto,"31 Wood Glen Road, Toronto, ON M1N 2V8",Avalon Children's Montessori School,Toronto,Toronto,"31 Wood Glen Road, Toronto, ON M1N 2V8"
28,exact_match,6977928e2e40cca8d4f824a4,"Avondale Public School, Extended Day Program",North York,Toronto,"171 Avondale Ave, North York, ON M2N 2V4","Avondale Public School, Extended Day Program",North York,Toronto,"171 Avondale Ave, North York, ON M2N 2V4"
29,exact_match,6977928e2e40cca8d4f826ee,B.F. Toronto Centre For Early Childhood Education,Etobicoke,Toronto,"45 Golfdown Dr, Etobicoke, ON M9W 2H8",B.F. Toronto Centre For Early Childhood Education,Etobicoke,Toronto,"45 Golfdown Dr, Etobicoke, ON M9W 2H8"
30,exact_match,697792902e40cca8d4f82814,Bais Yaakov Elementary School,North York,Toronto,"15 Saranac Blvd, North York, ON M6A 2G4",Bais Yaakov Elementary School,North York,Toronto,"15 Saranac Blvd, North York, ON M6A 2G4"
31,exact_match,697792902e40cca8d4f82835,Balmy Beach Community Day Care Centre,Toronto,Toronto,"14 Pine Ave, Toronto, ON M4E 1L6",Balmy Beach Community Day Care Centre,Toronto,Toronto,"14 Pine Ave, Toronto, ON M4E 1L6"
32,exact_match,6977928e2e40cca8d4f8242a,Bayview Glen,North York,Toronto,"275 Duncan Mill Rd, North York, ON M3B 3H9",Bayview Glen,North York,Toronto,"275 Duncan Mill Rd, North York, ON M3B 3H9"
33,exact_match,6977928e2e40cca8d4f8242b,Beaches Montessori School Incorporated,Toronto,Toronto,"950 Kingston Rd, Toronto, ON M4E 1S8",Beaches Montessori School Incorporated,Toronto,Toronto,"950 Kingston Rd, Toronto, ON M4E 1S8"
34,exact_match,6977928e2e40cca8d4f8242c,Beaches Montessori School South,Toronto,Toronto,"995 Kingston Rd, Toronto, ON M4E 1S5",Beaches Montessori School South,Toronto,Toronto,"995 Kingston Rd, Toronto, ON M4E 1S5"
35,exact_match,6977928e2e40cca8d4f826ef,Beatty Buddies Daycare,Toronto,Toronto,"55 Woodington Ave, Toronto, ON M4C 3J6",Beatty Buddies Daycare,Toronto,Toronto,"55 Woodington Ave, Toronto, ON M4C 3J6"
36,exact_match,6977928e2e40cca8d4f82777,Bennington Heights Child Care Centre,East York,Toronto,"76 Bennington Heights Dr, East York, ON M4G 2Y7",Bennington Heights Child Care Centre,East York,Toronto,"76 Bennington Heights Dr, East York, ON M4G 2Y7"
37,exact_match,6977928e2e40cca8d4f82778,Beth Sholom First Foundations Community Preschool,Toronto,Toronto,"Beth Sholom Synagogue, 1445 Eglinton Ave W, Toronto, ON M6C 2E6",Beth Sholom First Foundations Community Preschool,Toronto,Toronto,"Beth Sholom Synagogue, 1445 Eglinton Ave W, Toronto, ON M6C 2E6"
38,exact_match,697792902e40cca8d4f828e8,Beverly Glen YMCA,Scarborough,Toronto,"85 Beverly Glen Blvd, Scarborough, ON M1W 1W4",Beverly Glen YMCA,Scarborough,Toronto,"85 Beverly Glen Blvd, Scarborough, ON M1W 1W4"
39,exact_match,697792962e40cca8d4f82cad,Big Dreams Early Learning Centre,Scarborough,Toronto,"1703 Victoria Park Ave, Scarborough, ON M1R 1R9",Big Dreams Early Learning Centre,Scarborough,Toronto,"1703 Victoria Park Ave, Scarborough, ON M1R 1R9"
40,exact_match,6977928e2e40cca8d4f824a5,"Birch Cliff Public School, Extended Day Program",Scarborough,Toronto,"1650 Kingston Rd, Scarborough, ON M1N 1S2","Birch Cliff Public School, Extended Day Program",Scarborough,Toronto,"1650 Kingston Rd, Scarborough, ON M1N 1S2"
41,exact_match,6977928e2e40cca8d4f82779,Birchmount Bluffs Neighbourhood Centre Community Nursery School,Scarborough,Toronto,"93 Birchmount Rd, Scarborough, ON M1N 3J7, Canada",Birchmount Bluffs Neighbourhood Centre Community Nursery School,Scarborough,Toronto,"93 Birchmount Rd, Scarborough, ON M1N 3J7, Canada"
42,exact_match,6977928e2e40cca8d4f826f1,Blaydon Community Day Care Centre,North York,Toronto,"25 Blaydon Ave, North York, ON M3M 2C9",Blaydon Community Day Care Centre,North York,Toronto,"25 Blaydon Ave, North York, ON M3M 2C9"
43,exact_match,697792902e40cca8d4f828ea,Blessed Pier Giorgio Frassati Extended Day Program,Scarborough,Toronto,"8 Seasons Dr, Scarborough, ON M1X 1X4",Blessed Pier Giorgio Frassati Extended Day Program,Scarborough,Toronto,"8 Seasons Dr, Scarborough, ON M1X 1X4"
